village,asv_ID,host_p,host_ID,host_species,grid,season,reads,total_reads
Mandena,ASV_104,0.2692307692307692,2388,Microgale brevicaudata,flooded_rice,2,0.05235034461395493,12913
Mandena,ASV_104,0.2692307692307692,2390,Microgale brevicaudata,flooded_rice,2,0.01752493933674845,18545
Mandena,ASV_104,0.2692307692307692,2392,Microgale brevicaudata,flooded_rice,2,0.0064657094443948985,22426
Mandena,ASV_104,0.2692307692307692,2393,Microgale brevicaudata,flooded_rice,2,0.029818242733897313,23878
Mandena,ASV_104,0.2692307692307692,2402,Microgale brevicaudata,flooded_rice,2,0.013091410197519523,13062
Mandena,ASV_104,0.2692307692307692,2405,Microgale brevicaudata,flooded_rice,2,0.008652130053542328,25774
Mandena,ASV_104,0.2692307692307692,2412,Microgale brevicaudata,flooded_rice,2,0.004504612435605607,41735
Mandena,ASV_104,0.2692307692307692,2497,Microgale brevicaudata,brushy_regrowth,3,0.07955046275892462,22690
Mandena,ASV_104,0.2692307692307692,2498,Microgale brevicaudata,brushy_regrowth,3,0.01239321381301889,16622
Mandena,ASV_104,0.2692307692307692,2625,Microgale brevicaudata,flooded_rice,3,0.0041549262142413675,20939
Mandena,ASV_104,0.2692307692307692,2637,Microgale brevicaudata,flooded_rice,3,0.015315089128797388,19915
Mandena,ASV_104,0.2692307692307692,2655,Microgale brevicaudata,secondary_forest,3,0.04566228192186941,25163
Mandena,ASV_104,0.2692307692307692,2663,Microgale brevicaudata,secondary_forest,3,0.04366341964853884,20429
Mandena,ASV_104,0.2692307692307692,2677,Microgale brevicaudata,semi-intact_forest,3,0.005308992688492525,21473
Mandena,ASV_104,0.2692307692307692,2678,Microgale brevicaudata,semi-intact_forest,3,0.0030447817125726063,21348
Mandena,ASV_104,0.2692307692307692,2681,Microgale brevicaudata,semi-intact_forest,3,0.0021225249323990345,34393
Mandena,ASV_104,0.2692307692307692,2682,Microgale brevicaudata,semi-intact_forest,3,0.014282210713100683,69317
Mandena,ASV_104,0.2692307692307692,2767,Microgale brevicaudata,agroforest,3,0.0011151515151515152,61875
Mandena,ASV_1041,0.09340659340659341,2124,Microgale brevicaudata,secondary_forest,1,0.008502963153826334,7762
Mandena,ASV_1041,0.09340659340659341,2195,Microgale brevicaudata,agroforest,1,0.0025442209837654474,24762
Mandena,ASV_1041,0.09340659340659341,2234,Microgale brevicaudata,agroforest,1,0.001387671633070406,13692
Mandena,ASV_1041,0.09340659340659341,2245,Microgale brevicaudata,agroforest,1,0.02897284705539783,13737
Mandena,ASV_1041,0.09340659340659341,2256,Microgale brevicaudata,brushy_regrowth,2,0.002708780537667382,39132
Mandena,ASV_1041,0.09340659340659341,2274,Microgale brevicaudata,brushy_regrowth,2,0.00998070030328095,18135
Mandena,ASV_1041,0.09340659340659341,2338,Microgale brevicaudata,agriculture,2,0.0013891093824416575,25196
Mandena,ASV_1041,0.09340659340659341,2345,Microgale brevicaudata,secondary_forest,2,0.003866565579984837,26380
Mandena,ASV_1041,0.09340659340659341,2350,Microgale brevicaudata,secondary_forest,2,0.016885403329065303,24992
Mandena,ASV_1041,0.09340659340659341,2372,Microgale brevicaudata,semi-intact_forest,2,0.0013466879892264961,23762
Mandena,ASV_1041,0.09340659340659341,2387,Microgale brevicaudata,flooded_rice,2,0.0015537885019650856,10941
Mandena,ASV_1041,0.09340659340659341,2392,Microgale brevicaudata,flooded_rice,2,0.011504503701061267,22426
Mandena,ASV_1041,0.09340659340659341,2407,Microgale brevicaudata,flooded_rice,2,0.004310054549127887,14849
Mandena,ASV_1041,0.09340659340659341,2637,Microgale brevicaudata,flooded_rice,3,0.0012553351744915891,19915
Mandena,ASV_1041,0.09340659340659341,2664,Microgale brevicaudata,secondary_forest,3,0.0033769849453495564,38792
Mandena,ASV_1041,0.09340659340659341,2689,Microgale brevicaudata,semi-intact_forest,3,0.009766009045028511,15257
Mandena,ASV_1048,0.01098901098901099,2309,Microgale brevicaudata,agriculture,2,0.0017285405617756826,25455
Mandena,ASV_1048,0.01098901098901099,2635,Microgale brevicaudata,flooded_rice,3,0.001194308858656143,19258
Mandena,ASV_105,0.08241758241758242,2021,Microgale brevicaudata,brushy_regrowth,1,0.001267527529113523,12623
Mandena,ASV_105,0.08241758241758242,2083,Microgale brevicaudata,agriculture,1,0.0016086998487822141,31081
Mandena,ASV_105,0.08241758241758242,2110,Microgale brevicaudata,secondary_forest,1,0.007896580271285742,15703
Mandena,ASV_105,0.08241758241758242,2143,Microgale brevicaudata,semi-intact_forest,1,0.014089176197579977,18099
Mandena,ASV_105,0.08241758241758242,2172,Microgale brevicaudata,flooded_rice,1,0.006759212152045934,27518
Mandena,ASV_105,0.08241758241758242,2197,Microgale brevicaudata,agroforest,1,0.00324054398640034,18824
