host_ID,host_species,village,grid,season,total_reads,asv_ID,reads,asv_degree,asv_group,host_group
2129,Rattus rattus,Mandena,secondary_forest,1,7013,ASV_2,0.02937401967774133,157,1,24
2138,Rattus rattus,Mandena,semi-intact_forest,1,33382,ASV_2,0.1102989635132706,157,1,25
2140,Rattus rattus,Mandena,semi-intact_forest,1,20447,ASV_2,0.01413410280236709,157,1,10
2152,Rattus rattus,Mandena,flooded_rice,1,12551,ASV_2,0.03282606963588558,157,1,1
2153,Rattus rattus,Mandena,flooded_rice,1,17908,ASV_2,0.05902389993299084,157,1,1
2154,Rattus rattus,Mandena,flooded_rice,1,26173,ASV_2,0.01914186375272227,157,1,15
2160,Rattus rattus,Mandena,flooded_rice,1,12467,ASV_2,0.10170851046763456,157,1,1
2175,Rattus rattus,Mandena,flooded_rice,1,22668,ASV_2,0.16357861302276336,157,1,1
2177,Rattus rattus,Mandena,flooded_rice,1,16880,ASV_2,0.05343601895734597,157,1,1
2178,Rattus rattus,Mandena,flooded_rice,1,16646,ASV_2,0.01988465697464856,157,1,1
2181,Rattus rattus,Mandena,flooded_rice,1,19612,ASV_2,0.34917397511727516,157,1,1
2208,Rattus rattus,Mandena,agroforest,1,3649,ASV_2,0.04521786790901617,157,1,1
2216,Rattus rattus,Mandena,agroforest,1,18253,ASV_2,0.1090779597874322,157,1,1
2217,Rattus rattus,Mandena,agroforest,1,8043,ASV_2,0.14459778689543704,157,1,35
2243,Rattus rattus,Mandena,agroforest,1,7253,ASV_2,0.32469323038742587,157,1,1
2248,Rattus rattus,Mandena,agroforest,1,15957,ASV_2,0.06849658457103465,157,1,1
2249,Rattus rattus,Mandena,agroforest,1,9448,ASV_2,0.06519898391193904,157,1,1
2251,Rattus rattus,Mandena,agroforest,1,42264,ASV_2,0.5567149346961954,157,1,1
2261,Rattus rattus,Mandena,brushy_regrowth,2,13262,ASV_2,0.16566128789021264,157,1,1
2262,Rattus rattus,Mandena,brushy_regrowth,2,20674,ASV_2,0.4129341201509142,157,1,1
2263,Rattus rattus,Mandena,brushy_regrowth,2,7186,ASV_2,0.24325076537712215,157,1,1
2287,Rattus rattus,Mandena,brushy_regrowth,2,8590,ASV_2,0.04260768335273574,157,1,4
2302,Rattus rattus,Mandena,agriculture,2,35510,ASV_2,0.0250352013517319,157,1,4
2312,Rattus rattus,Mandena,agriculture,2,2513,ASV_2,0.01989653800238758,157,1,1
